class,namespace,qualifiedName,name,type,format,constraints,comment
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/parentNameUsage,parentNameUsage,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/originalNameUsage,originalNameUsage,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/nameAccordingTo,nameAccordingTo,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/namePublishedIn,namePublishedIn,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/namePublishedInYear,namePublishedInYear,integer,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/higherClassification,higherClassification,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/kingdom,kingdom,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/phylum,phylum,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/class,class,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/order,order,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/family,family,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/genus,genus,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/subgenus,subgenus,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/specificEpithet,specificEpithet,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/infraspecificEpithet,infraspecificEpithet,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/taxonRank,taxonRank,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/verbatimTaxonRank,verbatimTaxonRank,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/scientificNameAuthorship,scientificNameAuthorship,string,default,,
